"item_id"	"manufacturer_item_id"	"upc_or_ean_id"	"manufacturer"	"product_name"	"short_description"	"extended_description"	images	weight	length	width	height	categories	"retail_map"	"msrp"	"stock_status"
"BLK44H013BKR"	"44H013BKR"	"648018042874"	"Blackhawk!"	"04287 - SERPA L2 DUTY HLSTR RH SZ 13 BLK"	"04287 - SERPA L2 DUTY HLSTR RH SZ 13 BLK"	"SERPA Level 2 Duty Holsters: Right Handed - Black - Size:13 - Glock 20/21/37/38 and S&W M&P .45 and Pro 9/40 - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H013BKR.jpg	.7300	5.5000	4.0000	12.0000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H015BKL"	"44H015BKL"	"648018117244"	"Blackhawk!"	"11724 - SERPA L2 X-26 DUTY LH MAT BLK"	"11724 - SERPA L2 X-26 DUTY LH MAT BLK"	"SERPA Taser X-26 Holster: Left Handed - Matte - Size: 15 - Belt loop design allows exchange of Taser - Fits most duty belts - Design automatically engages safety when re-holstering - Fits all SERPA platforms: duty belt loops, MOLLE and Tactical Thigh"	BLK44H015BKL.jpg	.4500	6.0000	3.0000	2.5000	HOLSTERS	"n/a"	"50.99"	"N"
"BLK44H015BKR"	"44H015BKR"	"648018107986"	"Blackhawk!"	"10798 - SERPA L2 X-26 DUTY RH MAT BLK"	"10798 - SERPA L2 X-26 DUTY RH MAT BLK"	"SERPA Taser X-26 Holster: Matte Black - Right handed - Belt loop design - Automatically engages safety when re-holstering - Designed to retain probes if activated while in holster - Fits all SERPA platforms: duty belt loops, MOLLE & Tactical Thigh"	BLK44H015BKR.jpg	.4500	6.0000	3.0000	2.5000	HOLSTERS	"n/a"	"50.99"	"S"
"BLK44H015BWL"	"44H015BWL"	"648018117794"	"Blackhawk!"	"11779 - SERPA L2 X-26 DUTY LH BW BLK"	"11779 - SERPA L2 X-26 DUTY LH BW BLK"	"SERPA Taser X-26 Holster: Left Handed - Basketweave - Size: 15 - Belt loop design allows exchange of Taser - Fits most duty belts - Design automatically engages safety when re-holstering - Fits all SERPA platforms: duty belt loops, MOLLE and Tactical Thigh"	BLK44H015BWL.jpg	.4500	6.0000	3.0000	2.8500	HOLSTERS	"n/a"	"60.99"	"N"
"BLK44H015BWR"	"44H015BWR"	"648018107993"	"Blackhawk!"	"10799 - SERPA L2 X-26 DUTY RH BW BLK"	"10799 - SERPA L2 X-26 DUTY RH BW BLK"	"SERPA Taser X-26 Holster: Right Handed - Basketweave - Size: 15 - Belt loop design allows exchange of Taser - Fits most duty belts - Design automatically engages safety when re-holstering - Fits all SERPA platforms: duty belt loops, MOLLE & Tactical Thigh"	BLK44H015BWR.jpg	.4500	6.0000	3.0000	2.5000	HOLSTERS	"n/a"	"60.99"	"N"
"BLK44H015PLL"	"44H015PLL"	"648018117800"	"Blackhawk!"	"11780 - SERPA L2 X-26 DUTY LH PLN BLK"	"11780 - SERPA L2 X-26 DUTY LH PLN BLK"	"SERPA Taser X-26 Holster: Left Handed - Plain Black- Size: 15 - Belt loop design allows exchange of Taser - Fits most duty belts - Design automatically engages safety when re-holstering - Fits all SERPA platforms: duty belt loops, MOLLE & Tactical Thigh"	BLK44H015PLL.jpg	.4500	6.0000	3.0000	2.5000	HOLSTERS	"n/a"	"60.99"	"N"
"BLK44H015PLR"	"44H015PLR"	"648018108006"	"Blackhawk!"	"10800 - SERPA L2 X-26 DUTY RH PLN BLK"	"10800 - SERPA L2 X-26 DUTY RH PLN BLK"	"SERPA Taser X-26 Holster: Right Handed - Plain Black - Size: 15 - Belt loop design allows exchange of Taser - Fits most duty belts - Design automatically engages safety when re-holstering - Fits all SERPA platforms: duty belt loops, MOLLE & Tactical Thigh"	BLK44H015PLR.jpg	.4500	6.0000	3.0000	2.5000	HOLSTERS	"n/a"	"60.99"	"N"
"BLK44H026BKR"	"44H026BKR"	"648018093760"	"Blackhawk!"	"09376 - SERPA L2 DUTY HLSTR RH SZ 26 BLK"	"09376 - SERPA L2 DUTY HLSTR RH SZ 26 BLK"	"SERPA Level 2 Duty Holsters: Right Handed - Black - Size:26 - Glock 21SF W/Larger 1913 Rail - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H026BKR.jpg	.7300	5.5000	12.0000	12.0000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H100BKL"	"44H100BKL"	"648018037511"	"Blackhawk!"	"03751 - SERPA L3 DUTY LH SZ 0 MAT BLK"	"03751 - SERPA L3 DUTY LH SZ 0 MAT BLK"	"SERPA Level 3 Duty Holsters: Black Matte - Left handed - Size:00 - Glock 17/19/22/23/31/32 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H100BKL.jpg	.7400	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
"BLK44H100BKR"	"44H100BKR"	"648018037498"	"Blackhawk!"	"03749 - SERPA L3 DUTY RH SZ 0 MAT BLK"	"03749 - SERPA L3 DUTY RH SZ 0 MAT BLK"	"SERPA Level 3 Duty Holsters: Black Matte - Right handed - Size:00 - Glock 17/19/22/23/31/32 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H100BKR.jpg	.7400	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
