"item_id",qty_available,"stock_status","active_status"
"BUT16002",3,"S","Y"
"BUT20030",4,"S","Y"
"BUT20035",18,"S","Y"
"DOS1010404",6,"S","Y"
"ENL710",497,"S","Y"
"FLM6455SC",0,"N","Y"
"GAM632063454",0,"P","N"
"GLK10017",0,"S","Y"
"GLK10020",0,"S","Y"
"GLK17045",0,"S","Y"
"GLK17076",61,"S","Y"
"GLK30009",0,"S","Y"
"GLK33009",0,"S","Y"
"GLK20115",0,"S","Y"
"GLK22115",0,"S","Y"
"HAR25S",11,"S","Y"
"HAR2R",0,"S","Y"
"HAR6A",0,"S","Y"
"HAR8",0,"N","Y"
"HARBR1A2",23,"S","Y"
"HARL1A2",16,"S","Y"
"HARLMS",25,"S","Y"
"HKS203LBN",0,"N","Y"
"HKS203MBN",0,"N","Y"
"HKS22HR",53,"S","Y"
"HKS255",40,"S","Y"
"HKS27A",192,"S","Y"
"HKS32K",34,"S","Y"
"HKS380",38,"S","Y"
"HKS51J",12,"S","Y"
"HKS57M",40,"S","Y"
"HKS587A",190,"S","Y"
"HKSDSA",114,"S","Y"
"HKSGL940",28,"S","Y"
"HLTR03571",46,"S","Y"
"HLTR03575",25,"S","Y"
"HNK215608",24,"S","Y"
"HNK215668S",0,"S","Y"
"HNK215957S",0,"S","Y"
"HOG00130",0,"N","Y"
"HOG00150",0,"N","Y"
"HOG00500",0,"N","Y"
"HOG00721",0,"N","Y"
"HOG00731",0,"N","Y"
"HOG00950",0,"N","Y"
"HOG01000",0,"O","N"
"HOG01332",0,"N","Y"
"HOG02210",0,"N","Y"
"HOG02310",0,"N","Y"
"HOG02710",0,"N","Y"
"HOG02810",0,"N","Y"
"HOG04311",0,"N","Y"
"HOG04411",0,"N","Y"
"HOG04710",0,"N","Y"
"HOG04810",0,"N","Y"
"HOG05014",253,"S","Y"
"HOG05020",0,"N","Y"
"HOG05710",0,"N","Y"
"HOG05720",0,"N","Y"
"HOG05741",0,"N","Y"
"HOG06210",0,"N","Y"
"HOG06711",0,"N","Y"
"HOG06811",0,"N","Y"
"HOG07010",0,"N","Y"
"HOG07012",0,"N","Y"
"HOG07711",0,"N","Y"
"HOG07721",0,"N","Y"
"HOG08712",0,"N","Y"
"HOG08715",112,"S","Y"
"HOG09000",23,"S","Y"
"HOG09009",0,"N","Y"
"HOG09311",0,"N","Y"
"HOG09611",0,"N","Y"
"HOG09711",0,"N","Y"
"HOG10000",32,"S","Y"
"HOG10200",0,"N","Y"
"HOG10225",0,"N","Y"
"HOG10231",0,"N","Y"
"HOG10244",0,"N","Y"
"HOG10250",0,"N","Y"
"ATIENF0041",0,"N","Y"
"ATIMOI0600",6,"S","Y"
"ATISKS3000",12,"S","Y"
"ATISRG0200",12,"S","Y"
"ATITFS0600",0,"S","Y"
"AZM11407",0,"N","Y"
"AZM11411",0,"N","Y"
"AZM11413",0,"N","Y"
"AZM12204",0,"N","Y"
"AZM12208",0,"S","Y"
"AZM12217",0,"N","Y"
"AZM12219",0,"N","Y"
"AZM12224",7,"S","Y"
"AZM12226",4,"S","Y"
"AZM12228",24,"S","Y"
"AZM12233",0,"S","Y"
"AZM12235",0,"N","Y"
"AZM12242",0,"N","Y"
"AZM12246",0,"N","Y"
"AZM12255",0,"N","Y"
"AZM12261",0,"N","Y"
"AZM12264",0,"N","Y"
"AZM12276",0,"N","Y"
"AZM12278",0,"N","Y"
"AZM12288",0,"N","Y"
"AZM12291",0,"N","Y"
"AZM12296",0,"N","Y"
"AZM12299",0,"N","Y"
"AZM15118",0,"N","Y"
"AZM15132",0,"N","Y"
"AZM15152",0,"N","Y"
"AZM16119",14,"S","Y"
"AZM16121",0,"S","Y"
"AZM16135",0,"N","Y"
"AZM16160",0,"N","Y"
"BCY13125",162,"S","Y"
"BCY15108",0,"N","Y"
"BCY15208",0,"N","Y"
"BCY15225",13,"S","Y"
"BCY30001",11,"S","Y"
"BCY33745",12,"S","Y"
"BCY33916",35,"S","Y"
"BCY34008",0,"N","Y"
"BCY34080",0,"N","Y"
"BCY34170",0,"N","Y"
"BCY34185",0,"S","Y"
"BCY34212",0,"N","Y"
"BCY34602",0,"N","Y"
"BCY34608",28,"S","Y"
"BCY35212",0,"N","Y"
"BCY35309",8,"S","Y"
"BCY46100",0,"N","Y"
"BCY46221",0,"S","Y"
"BCY46676",888,"S","Y"
"BCY47021",0,"N","Y"
"BERJM80399HC",0,"S","Y"
"BERJM9022PK",11,"S","Y"
"BERJMU22",14,"S","Y"
"BFECAC4",12,"S","Y"
"BFECLP12",406,"S","Y"
"BFECLP2",259,"S","Y"
"BRN112022024",0,"S","Y"
"BRN112022026",5,"S","Y"
"BRN112022035",0,"N","Y"
"BRN112022038",0,"N","Y"
"BRN112025011",0,"N","Y"
"BRN112025027",3,"S","Y"
"BRN112026024",0,"N","Y"
"BRN112026027",0,"N","Y"
"BRN112055190",0,"S","Y"
"BSQ10048",9,"S","Y"
"BSQ14502",5,"S","Y"
"BSQ17025",13,"S","Y"
"BSQ18500",0,"N","Y"
"BSQ18513",0,"N","Y"
"BSQ18600",11,"S","Y"
"BUT20050",10,"S","Y"
"BUT20070",20,"S","Y"
"BUT30100",11,"S","Y"
"BUT30110",7,"S","Y"
"BUT30120",9,"S","Y"
"BUT30130",3,"S","Y"
"BUT30150",18,"S","Y"
"BUT30330",29,"S","Y"
"BUT30340",125,"S","Y"
"BUT30390",51,"S","Y"
"BUT30400",17,"S","Y"
"BUT70207",12,"S","Y"
"BUT70208",6,"S","Y"
"BUT70209",4,"S","Y"
"BUT70210",6,"S","Y"
"BUT80033",3,"S","Y"
"BUT80095",0,"N","Y"
"BUT81013",7,"S","Y"
"BUT81017",4,"S","Y"
"BUTFSRS",86,"S","Y"
"CLK1022416",27,"S","Y"
"CLK1022416F",29,"S","Y"
"CLK1022418",0,"N","Y"
"CLTSP50225N",14,"S","Y"
"CLTSP50225B",30,"S","Y"
"CLTSPC55621B",23,"S","Y"
"CLTSPC55691B",0,"N","Y"
"CLTSPC556711",0,"S","Y"
"CLTSPC556471",0,"S","Y"
"CLTSPC556921",0,"N","Y"
"CLTSP945381",1,"S","Y"
"CMK14311",229,"S","Y"
"CMK15150",75,"S","Y"
"CRK5500K",0,"N","Y"
"CRK5500KC",0,"N","Y"
"CRKM1613ZC",0,"N","Y"
"CRKM1613ZM",0,"N","Y"
"CRKM1613ZMC",0,"N","Y"
"CRKM2102",0,"N","Y"
"CRKM2104",0,"N","Y"
"CRKM2112",0,"N","Y"
"CRKM2114",2,"S","Y"
"CRMLG326",8,"S","Y"
"CRMLG329",0,"S","Y"
"CRMLG359",2,"S","Y"
"CRMLG389",10,"S","Y"
"CZM11107",0,"N","Y"
"CZM11108",0,"N","Y"
"CZM12001",43,"S","Y"
"CZM12003",19,"S","Y"
"CZM12004",60,"S","Y"
"CZM14002",0,"N","Y"
"CZM14003",0,"N","Y"
"CZM19001",0,"N","Y"
"CZM19002",0,"N","Y"
"DOS1010164",23,"S","Y"
"DOS1010475",53,"S","Y"
"EOT9EOTECH552",0,"N","Y"
"FLM6490SC",0,"N","Y"
"GAM611134054",0,"S","N"
"GAM621220354",0,"P","N"
"GLK02639",0,"S","Y"
"GLK03080",41,"S","Y"
"GLK04832",131,"S","Y"
"GLK05173",30,"S","Y"
"GLK17278",0,"S","Y"
"GLK17281",0,"S","Y"
"GLK26010",0,"S","Y"
"GLK27009",0,"S","Y"
"GLK31115",0,"S","Y"
"GLK32113",0,"S","Y"
"HAR3",0,"N","Y"
"HAR4",8,"S","Y"
"HAR5",0,"S","Y"
"HAR6",15,"S","Y"
"HKS100B",124,"S","Y"
"HOG10300",0,"N","Y"
"HOG10321",0,"N","Y"
"HOG10325",0,"N","Y"
"HOG10344",0,"N","Y"
"HOG10350",0,"N","Y"
"HOG10421",0,"N","Y"
"HOG10425",0,"N","Y"
"HOG10440",0,"N","Y"
"HOG10444",0,"N","Y"
"HOG10511",0,"N","Y"
"HOG10521",0,"N","Y"
"HOG10540",0,"N","Y"
"HOG10544",0,"N","Y"
"HOG10601",0,"N","Y"
"HOG10611",0,"N","Y"
"HOG10634",0,"N","Y"
"HOG10640",0,"N","Y"
"HOG10701",0,"N","Y"
"HOG10711",0,"N","Y"
"HOG10730",0,"N","Y"
"HOG10734",0,"N","Y"
"HOG10751",0,"N","Y"
"HOG10801",0,"N","Y"
"HOG10830",0,"N","Y"
"HOG10834",0,"N","Y"
"HOG10845",0,"N","Y"
"HOG10851",0,"N","Y"
"HOG10924",0,"N","Y"
"HOG10930",0,"N","Y"
"HOG10945",0,"N","Y"
"HOG10951",0,"N","Y"
"HOG11311",0,"N","Y"
"HOG11411",0,"N","Y"
"HOG11810",0,"N","Y"
"HOG11910",0,"N","Y"
"HOG12345",0,"N","Y"
"HOG12411",0,"N","Y"
"HOG12710",0,"N","Y"
