"item_id",cost,"retail_map","msrp"
"BLK15PM11BK",60.6568,"79.99","99.99"
"BLK15RT00BK",45.4926,"59.99","74.99"
"BLK15RT10BK",45.4926,"59.99","74.99"
"BLK15TT00BK",60.6568,"79.99","99.99"
"BLK15TT10BK",60.6568,"79.99","99.99"
"BLK15UK00BK",121.3136,"159.99","199.99"
"BLK15UK00SL",121.3136,"159.99","199.99"
"BLK15XM00BK",18.1970,"23.99","29.99"
"BLK200",24.2627,"31.99","39.99"
"BLK204M",6.0657,"7.99","9.99"
"BLK20CC00BK",54.5911,"n/a","89.99"
"BLK20CZ00BK",55.1977,"72.79","90.99"
"BLK20DB01BK",172.8719,"227.99","284.99"
"BLK20DB01DE",172.8719,"227.99","284.99"
"BLK20DB01OD",172.8719,"227.99","284.99"
"BLK20EMR1BK",27.2956,"35.99","44.99"
"BLK20GB00BK",169.8390,"n/a","279.99"
"BLK20LO00BK",162.5602,"214.39","267.99"
"BLK20LO03BK",181.9704,"n/a","299.99"
"BLK20LO04BK",143.7566,"189.59","236.99"
"BLK20LO05BK",260.8242,"343.99","429.99"
"BLK20ML00BK",31.5415,"n/a","51.99"
"BLK20ML01BK",42.4598,"n/a","69.99"
"BLK20MOB2BK",67.3290,"88.79","110.99"
"BLK20MOB2CT",67.3290,"88.79","110.99"
"BLK20MOB3BK",74.6079,"98.39","122.99"
"BLK20MOB3CT",74.6079,"98.39","122.99"
"BLK20MOB3FG",74.6079,"98.39","122.99"
"BLK20PE00BK",42.4598,"n/a","69.99"
"BLK20PK01BK",12.7379,"16.79","20.99"
"BLK20PK01DE",12.7379,"16.79","20.99"
"BLK20PM03BK",151.6420,"n/a","249.99"
"BLK20PM03DE",151.6420,"n/a","249.99"
"BLK20PM03OD",151.6420,"n/a","249.99"
"BLK20SP00BK",72.7882,"95.99","119.99"
"BLK20TB03BK",54.5911,"n/a","89.99"
"BLK21DT00BK",111.0019,"146.39","182.99"
"BLK21DT03BK",139.5106,"183.99","229.99"
"BLK30HH03OD",181.9704,"239.99","299.99"
"BLK30DV00BK",121.3136,"n/a","199.99"
"BLK30EV03BK",109.1822,"n/a","179.99"
"BLK30EV03DE",109.1822,"n/a","179.99"
"BLK30EV03OD",109.1822,"n/a","179.99"
"BLK30EV05BK",109.1822,"n/a","179.99"
"BLK30EV05DE",109.1822,"n/a","179.99"
"BLK30EV05OD",109.1822,"n/a","179.99"
"BLK30EV08BK",109.1822,"n/a","179.99"
"BLK30EV25BK",109.1822,"n/a","179.99"
"BLK30EV26BK",109.1822,"n/a","179.99"
"BLK30EV26BKL",109.1822,"n/a","179.99"
"BLK30EV26DE",109.1822,"n/a","179.99"
"BLK30EV26DEL",109.1822,"n/a","179.99"
"BLK30EV26OD",109.1822,"n/a","179.99"
"BLK30EV29OD",109.1822,"n/a","179.99"
"BLK30EV31BK",109.1822,"n/a","179.99"
"BLK30EV35BK",109.1822,"n/a","179.99"
"BLK30TFV2BK",121.3136,"n/a","199.99"
"BLK31SF03DE",84.9195,"n/a","139.99"
"BLK32AC08BK",48.5254,"63.99","79.99"
"BLK32AC08CT",48.5254,"63.99","79.99"
"BLK15DE00YL",121.3136,"n/a","199.99"
"BLK15HH11YL",24.2627,"n/a","39.99"
"BLK15HP01BK",27.2956,"n/a","44.99"
"BLK15HP11BK",27.2956,"n/a","44.99"
"BLK15M101YL",60.6568,"n/a","99.99"
"BLK15M111YL",60.6568,"n/a","99.99"
"BLK15NE10CT",90.9852,"n/a","149.99"
"BLK20DS00BK",14.5576,"n/a","23.99"
"BLK20EE00BK",48.5254,"n/a","79.99"
"BLK20EE00RD",48.5254,"n/a","79.99"
"BLK20EM00BK",39.4269,"n/a","64.99"
"BLK20EM00RD",39.4269,"n/a","64.99"
"BLK20EM01BK",36.3941,"n/a","59.99"
"BLK20EM01RD",36.3941,"n/a","59.99"
"BLK20EM03BK",30.3284,"n/a","49.99"
"BLK20EM03RD",30.3284,"n/a","49.99"
"BLK20EO01BK",78.8538,"n/a","129.99"
"BLK20EO01RD",78.8538,"n/a","129.99"
"BLK20EO03BK",84.9195,"n/a","139.99"
"BLK20EO03RD",84.9195,"n/a","139.99"
"BLK20EP00BK",81.8867,"n/a","134.99"
"BLK20EP00RD",81.8867,"n/a","134.99"
"BLK20O200BK",94.0180,"n/a","154.99"
"BLK20O200RD",94.0180,"n/a","154.99"
"BLK20O201BK",30.3284,"n/a","49.99"
"BLK20O201RD",30.3284,"n/a","49.99"
"BLK20PL00BK",151.6420,"n/a","249.99"
"BLK20PL00RD",151.6420,"n/a","249.99"
"BLK20SI00BK",41.2466,"n/a","67.99"
"BLK20SI00RD",41.2466,"n/a","67.99"
"BLK20US00BK",260.8242,"n/a","429.99"
"BLK20US00RD",260.8242,"n/a","429.99"
"BLK30CV01BK",121.3136,"n/a","199.99"
"BLK30CV01CT",121.3136,"n/a","199.99"
"BLK30CV01MC",142.5435,"n/a","234.99"
"BLK30RV08BK",115.2479,"n/a","189.99"
